sr no. ,Distric,state,latitude,longitude,zones
1,South Andamans, Andaman And Nicobar Islands,,,red
2,Nicobars ,Andaman And Nicobar Islands,,,green
3,North and Middle Andaman,Andaman And Nicobar Islands,,,green
4,Kurnool,ANDHRA PRADESH,,,red
5,Guntur,ANDHRA PRADESH,,,red
6,Krishna,ANDHRA PRADESH,,,red
7,Chittoor,ANDHRA PRADESH,,,red
8,SPSR Nellore,ANDHRA PRADESH,,,red
9,West Godavari,ANDHRA PRADESH,,,orange
10,YSR (Kadapa),ANDHRA PRADESH,,,orange
11,Anantapur,ANDHRA PRADESH,,,orange
12,Prakasam,ANDHRA PRADESH,,,orange
13,East Godavari,ANDHRA PRADESH,,,orange
14,Srikakulam,ANDHRA PRADESH,,,orange
15,Visakhapatnam,ANDHRA PRADESH,,,orange
16,Vizianagaram,ANDHRA PRADESH,,,green
17,Lohit,ARUNACHAL PRADESH,,,green
18,Changlang,ARUNACHAL PRADESH,,,green
19,Dibang Valley,ARUNACHAL PRADESH,,,green
20,East Kameng,ARUNACHAL PRADESH,,,green
21,East Slang,ARUNACHAL PRADESH,,,green
22,Kurung Kumey,ARUNACHAL PRADESH,,,green
23,Lower Dibang Valley,ARUNACHAL PRADESH,,,green
24,Lower Subansiri,ARUNACHAL PRADESH,,,green
25,Papum Pare,ARUNACHAL PRADESH,,,green
26,Tawang,ARUNACHAL PRADESH,,,green
27,Tirap,ARUNACHAL PRADESH,,,green
28,Upper Siang,ARUNACHAL PRADESH,,,green
29,Upper Subansiri,ARUNACHAL PRADESH,,,green
30,West Kameng,ARUNACHAL PRADESH,,,green
31,West Siang,ARUNACHAL PRADESH,,,green
32,Anjaw,ARUNACHAL PRADESH,,,green
33,Longding,ARUNACHAL PRADESH,,,green
34,Kra Daadi,ARUNACHAL PRADESH,,,green
35,Namsai,ARUNACHAL PRADESH,,,green
36,Siang,ARUNACHAL PRADESH,,,green
37,Kamle,ARUNACHAL PRADESH,,,green
38,Lower Siang,ARUNACHAL PRADESH,,,green
39,Pakke Kessang,ARUNACHAL PRADESH,,,green
40,Lepa Rada,ARUNACHAL PRADESH,,,green
41,Shi Yomi,ARUNACHAL PRADESH,,,green
42,Dhubri,ASSAM,,,orange
43,Morigaon,ASSAM,,,orange
44,Goalpara,ASSAM,,,orange
45,Golaghat,ASSAM,,,green
46,Karimganj,ASSAM,,,green
47,Nalbari,ASSAM,,,green
48,Hailakandi,ASSAM,,,green
49,Cachar,ASSAM,,,green
50,Kamrup,ASSAM,,,green
51,Lakhimpur,ASSAM,,,green
52,Kamrup Metro,ASSAM,,,green
53,South Salmara Mankachar,ASSAM,,,green
54,Barpeta,ASSAM,,,green
55,Bongaigaon,ASSAM,,,green
56,Darrang,ASSAM,,,green
57,Dhemaji,ASSAM,,,green
58,Dibrugarh,ASSAM,,,green
59,Jorhat,ASSAM,,,green
60,Karbi Anglong,ASSAM,,,green
61,Kokrajhar,ASSAM,,,green
62,Nagaon,ASSAM,,,green
63,Dima Hasao,ASSAM,,,green
64,Sivasagar,ASSAM,,,green
65,Sonitpur,ASSAM,,,green
66,Tinsukia,ASSAM,,,green
67,Chirang,ASSAM,,,green
68,Baksa,ASSAM,,,green
69,Udalguri,ASSAM,,,green
70,Biswanath,ASSAM,,,green
71,Majuli,ASSAM,,,green
72,Charaideo,ASSAM,,,green
73,Hojai,ASSAM,,,green
74,West Karbi Anglong,ASSAM,,,green
75,Munger,BIHAR,,,red
76,Patna,BIHAR,,,red
77,Rohtas,BIHAR,,,red
78,Buxar,BIHAR,,,red
79,Gaya,BIHAR,,,red
80,Nalanda,BIHAR,,,orange
81,Kaimur (Bhabua),BIHAR,,,orange
82,Siwan,BIHAR,,,orange
83,Gopalganj,BIHAR,,,orange
84,Bhojpur,BIHAR,,,orange
85,Begusarai,BIHAR,,,orange
86,Aurangabad,BIHAR,,,orange
87,Madhubani,BIHAR,,,orange
88,Purbi Champaran (East Champaran),BIHAR,,,orange
89,Bhagalpur,BIHAR,,,orange
90,Arwal,BIHAR,,,orange
91,Saran,BIHAR,,,orange
