sr no. ,Distric,state,latitude,longitude,red zone,orange zone,green zone,,,,,
1,South Andamans, Andaman And Nicobar Islands,,,1,0,0,,,,,
2,Nicobars ,Andaman And Nicobar Islands,,,0,0,1,,,,,
3,North and Middle Andaman,Andaman And Nicobar Islands,,,0,0,1,,,,,1 -YES
4,Kurnool,ANDHRA PRADESH,,,1,0,0,,,,,0-NO
5,Guntur,ANDHRA PRADESH,,,1,0,0,,,,,
6,Krishna,ANDHRA PRADESH,,,1,0,0,,,,,
7,Chittoor,ANDHRA PRADESH,,,1,0,0,,,,,
8,SPSR Nellore,ANDHRA PRADESH,,,1,0,0,,,,,
9,West Godavari,ANDHRA PRADESH,,,0,1,0,,,,,
10,YSR (Kadapa),ANDHRA PRADESH,,,0,1,0,,,,,
11,Anantapur,ANDHRA PRADESH,,,0,1,0,,,,,
12,Prakasam,ANDHRA PRADESH,,,0,1,0,,,,,
13,East Godavari,ANDHRA PRADESH,,,0,1,0,,,,,
14,Srikakulam,ANDHRA PRADESH,,,0,1,0,,,,,
15,Visakhapatnam,ANDHRA PRADESH,,,0,1,0,,,,,
16,Vizianagaram,ANDHRA PRADESH,,,0,0,1,,,,,
17,Lohit,ARUNACHAL PRADESH,,,0,0,1,,,,,
18,Changlang,ARUNACHAL PRADESH,,,0,0,1,,,,,
19,Dibang Valley,ARUNACHAL PRADESH,,,0,0,1,,,,,
20,East Kameng,ARUNACHAL PRADESH,,,0,0,1,,,,,
21,East Slang,ARUNACHAL PRADESH,,,0,0,1,,,,,
22,Kurung Kumey,ARUNACHAL PRADESH,,,0,0,1,,,,,
23,Lower Dibang Valley,ARUNACHAL PRADESH,,,0,0,1,,,,,
24,Lower Subansiri,ARUNACHAL PRADESH,,,0,0,1,,,,,
25,Papum Pare,ARUNACHAL PRADESH,,,0,0,1,,,,,
26,Tawang,ARUNACHAL PRADESH,,,0,0,1,,,,,
27,Tirap,ARUNACHAL PRADESH,,,0,0,1,,,,,
28,Upper Siang,ARUNACHAL PRADESH,,,0,0,1,,,,,
29,Upper Subansiri,ARUNACHAL PRADESH,,,0,0,1,,,,,
30,West Kameng,ARUNACHAL PRADESH,,,0,0,1,,,,,
31,West Siang,ARUNACHAL PRADESH,,,0,0,1,,,,,
32,Anjaw,ARUNACHAL PRADESH,,,0,0,1,,,,,
33,Longding,ARUNACHAL PRADESH,,,0,0,1,,,,,
34,Kra Daadi,ARUNACHAL PRADESH,,,0,0,1,,,,,
35,Namsai,ARUNACHAL PRADESH,,,0,0,1,,,,,
36,Siang,ARUNACHAL PRADESH,,,0,0,1,,,,,
